t,spot,imp_px,exp_px,batt,grid,soc,expw,pvgen,direct,pvbatt,pvexp,loadw,ev
1788315300,,,,9713.0,11038.0,83.3,0.0,,,,,975.0,
1788316200,0.49297,1.32,0.597,6663.0,7913.0,90.0,0.0,,,,,1030.0,
1788317100,0.52731,1.36,0.6313,0.0,979.0,90.0,0.0,,,,,928.0,
1788318000,0.65347,1.48,0.7575,0.0,1327.0,90.0,0.0,,,,,1287.0,
1788318900,0.49286,1.32,0.5969,3553.0,5050.0,90.0,0.0,,,,,1371.0,
1788319800,0.73784,1.57,0.8418,1128.0,2636.0,90.0,0.0,,,,,1439.0,
1788320700,0.9806,1.81,1.0846,0.0,1466.0,90.0,0.0,,,,,1415.0,
1788321600,1.11198,1.94,1.216,-1533.0,3.0,87.7,0.0,,,,,1522.0,
1788322500,1.12399,1.96,1.228,-1126.0,-36.0,86.6,0.0,,,,,1199.0,
1788323400,1.15355,1.98,1.2576,-992.0,-30.0,85.5,0.0,,,,,1250.0,
1788324300,1.1809,2.01,1.2849,-939.0,12.0,83.3,0.0,1819.0,724.7,,,1250.0,
1788325200,1.20513,2.04,1.3091,-928.0,23.0,82.2,0.0,1819.1,724.8,,,1138.0,
1788326100,1.22491,2.06,1.3289,0.0,0.0,82.2,44.0,1819.2,724.9,,,705.0,
1788327000,1.26371,2.09,1.3677,292.0,0.0,82.2,41.0,1819.4,725.1,,,643.0,
1788327900,1.2826,2.11,1.3866,366.0,-56.0,82.2,0.0,1819.7,725.3,532.3,,760.0,
1788328800,1.30461,2.14,1.4086,-227.0,-18.0,82.2,29.0,1819.9,725.5,532.3,,854.0,
1788329700,1.31117,2.14,1.4152,-173.0,22.0,82.2,0.0,1820.1,725.7,532.3,,664.0,
1788330600,1.32606,2.16,1.4301,-1061.0,-1198.0,81.1,1191.0,1820.3,725.8,532.3,562.2,664.0,
1788331500,1.31573,2.15,1.4197,0.0,-408.0,81.1,424.0,1820.8,726.1,532.3,562.4,743.0,
1788332400,1.32984,2.16,1.4338,-661.0,-1150.0,80.0,1125.0,1821.0,726.3,532.3,562.4,685.0,
1788333300,1.3125,2.14,1.4165,-260.0,-2261.0,80.0,2245.0,1821.6,726.5,532.3,562.8,707.0,
1788334200,1.29416,2.13,1.3982,-261.0,-410.0,80.0,438.0,1822.1,726.7,532.3,563.1,745.0,
1788335100,1.27771,2.11,1.3817,-261.0,-2773.0,78.8,2595.0,1823.0,727.0,532.3,563.7,684.0,
1788336000,1.24014,2.07,1.3441,0.0,-1944.0,78.8,2326.0,1823.4,727.1,532.3,564.0,689.0,
